age,annual_income,employment_length,employment_type,home_ownership,credit_score,loan_amount,loan_purpose,interest_rate,loan_term,debt_to_income_ratio,loan_to_income_ratio,monthly_payment,payment_to_income_ratio,credit_score_tier,income_category,default
45,45331.05361896286,1.3,Full-time,Rent,660,78700.28,debt_consolidation,9.29,60,1.736122894065673,1.736122894065673,1644.7873862062115,0.43540679200577814,Fair,Medium,1
38,42027.677545720624,16.8,Self-employed,Own,563,80104.8,debt_consolidation,11.21,60,1.9060011087421247,1.9060011087421247,1750.0734700367268,0.4996917000135091,Poor,Medium,1
47,49090.13154194997,20.8,Full-time,Rent,664,11445.34,major_purchase,10.6,36,0.23314950766060558,0.23314950766060558,372.54143221665146,0.09106712583932586,Fair,Medium,0
58,73690.16900927653,32.1,Full-time,Rent,712,105332.23,vacation,9.93,60,1.4293932476493598,1.4293932476493598,2234.3723841072447,0.3638540794486661,Good,High,0
37,63296.66102277615,11.1,Unemployed,Rent,458,20072.59,home_improvement,10.23,60,0.3171192551970039,0.3171192551970039,428.7583694775714,0.08128549516821253,Poor,High,1
37,33773.350693729386,3.0,Full-time,Rent,563,60998.55,debt_consolidation,11.69,36,1.8061148434207759,1.8061148434207759,2017.0050370469683,0.7166615081830636,Poor,Medium,1
58,87046.20577161096,1.1,Self-employed,Own,701,32205.98,major_purchase,8.58,60,0.36998717766631917,0.36998717766631917,661.9974587604829,0.09126152524061677,Good,High,0
49,48868.13925377974,24.2,Self-employed,Rent,583,96948.1,other,12.48,60,1.9838713214868622,1.9838713214868622,2180.146283259534,0.5353540322714643,Fair,Medium,1
34,28811.0155413603,5.2,Full-time,Rent,631,26296.55,other,6.41,36,0.912725549790128,0.912725549790128,804.8862528174944,0.33524104764527524,Fair,Low,1
46,69058.58029209735,6.6,Full-time,Own,703,57020.29,car,6.29,36,0.825680020626272,0.825680020626272,1742.170003453155,0.3027290736793531,Good,High,0
34,55354.46939892782,7.3,Unemployed,Rent,445,67196.61,car,11.97,60,1.2139328717204099,1.2139328717204099,1493.7329758216783,0.3238183999322615,Poor,Medium,1
34,54296.57278025338,5.5,Full-time,Own,687,46112.84,debt_consolidation,10.77,60,0.8492771760498731,0.8492771760498731,997.3237045412882,0.2204169405485561,Good,Medium,0
42,31957.954130965172,13.7,Full-time,Rent,650,17446.42,home_improvement,8.06,36,0.5459179247990583,0.5459179247990583,547.1904244726351,0.2054663783157921,Fair,Medium,1
21,18010.73532891924,0.0,Full-time,Own,676,23330.63,medical,8.08,60,1.2953735410535283,1.2953735410535283,473.9548115630095,0.3157815400031975,Good,Low,1
21,37344.82888004982,0.0,Full-time,Rent,696,55415.65,car,6.43,60,1.4838908534831683,1.4838908534831683,1082.4547851896825,0.34782479427065627,Good,Medium,0
33,40877.364896594016,10.2,Part-time,Own,581,77508.02,debt_consolidation,11.46,36,1.8961109698746292,1.8961109698746292,2554.430725998647,0.7498812310804762,Fair,Medium,1
27,16521.725951105836,1.2,Self-employed,Rent,589,14494.93,major_purchase,11.1,36,0.8773254103654844,0.8773254103654844,475.2321342529354,0.345168878113096,Fair,Low,1
43,59840.87078179688,7.2,Self-employed,Own,600,86228.81,debt_consolidation,8.46,36,1.4409685031894641,1.4409685031894641,2720.433243325271,0.5455334872873151,Fair,Medium,1
29,24447.38264055167,3.5,Self-employed,Rent,567,41165.64,vacation,8.06,60,1.6838465125390238,1.6838465125390238,835.8733225092885,0.41028849662922934,Poor,Low,1
23,54460.245607239114,1.9,Full-time,Rent,586,91473.02,car,11.34,60,1.6796292227488776,1.6796292227488776,2004.39047199745,0.44165584263858343,Fair,Medium,1
57,93935.33380068066,13.2,Part-time,Own,624,15509.97,business,10.13,36,0.16511326859081873,0.16511326859081873,501.41027889278416,0.0640538879595679,Fair,High,0
37,54400.44444618096,6.1,Full-time,Own,552,42205.74,car,9.09,60,0.7758344702818497,0.7758344702818497,877.9664335279308,0.19366748396252842,Poor,Medium,0
40,69567.64294442796,12.4,Full-time,Mortgage,652,8730.38,debt_consolidation,9.99,36,0.12549483683059381,0.12549483683059381,281.66381887801623,0.04858531471644339,Fair,High,0
22,27243.056692528684,0.4,Part-time,Rent,629,31663.29,business,10.3,60,1.16225173839188,1.16225173839188,677.4347524295034,0.29839592234095563,Fair,Low,1
33,51735.79970376084,11.4,Full-time,Rent,678,90210.26,home_improvement,10.59,60,1.7436718967628586,1.7436718967628586,1942.9947306755362,0.4506731683208431,Good,Medium,0
41,72589.53324309045,17.9,Self-employed,Mortgage,617,119652.54,business,10.93,36,1.648344253699817,1.648344253699817,3913.305435468761,0.6469206113829787,Fair,High,0
26,35038.412430304525,2.6,Full-time,Own,611,57511.15,home_improvement,8.67,60,1.6413743092497801,1.6413743092497801,1184.6470129748907,0.4057194139139579,Fair,Medium,1
44,50409.48056287896,14.8,Part-time,Rent,561,38739.1,major_purchase,8.73,36,0.7684883789206725,0.7684883789206725,1227.030784798227,0.29209524187046676,Poor,Medium,1
32,15000.0,0.6,Full-time,Rent,554,2820.4,medical,14.41,60,0.18802666666666668,0.18802666666666668,66.2268164037782,0.05298145312302256,Poor,Low,1
36,42820.79372434708,10.4,Full-time,Own,671,18309.9,debt_consolidation,7.23,60,0.42759366203876187,0.42759366203876187,364.5481443819612,0.10216012717429461,Good,Medium,0
32,51334.3986158923,7.8,Full-time,Own,562,70549.56,other,6.57,36,1.374313557813045,1.374313557813045,2164.5221712538632,0.5059816956150168,Poor,Medium,1
62,91303.14548131106,14.7,Full-time,Mortgage,604,32348.82,major_purchase,7.06,60,0.35430126562968756,0.35430126562968756,641.4615369346494,0.08430748363200051,Fair,High,0
39,55446.831917979536,4.0,Full-time,Own,688,18747.9,debt_consolidation,3.89,36,0.33812391711997325,0.33812391711997325,552.595797518915,0.11959474222145274,Good,Medium,0
27,24507.6322196342,5.5,Self-employed,Own,570,18919.47,debt_consolidation,12.53,60,0.7719827778728757,0.7719827778728757,425.9378121192799,0.20855763215413753,Poor,Low,1
49,30940.896804769196,11.9,Full-time,Own,619,8651.58,vacation,12.84,36,0.2796163296296717,0.2796163296296717,290.83962580777995,0.11279813677396071,Fair,Medium,0
25,22656.519292640838,2.6,Full-time,Own,618,16462.0,debt_consolidation,9.72,60,0.7265899844265616,0.7265899844265616,347.5051759578405,0.1840557261965911,Fair,Low,0
42,47129.74218842802,0.7,Full-time,Mortgage,735,91545.57,major_purchase,3.88,60,1.9424160996678994,1.9424160996678994,1680.99807523255,0.4280094896793965,Good,Medium,1
21,20306.065492149788,0.0,Full-time,Rent,608,2800.35,medical,11.8,36,0.13790707023389634,0.13790707023389634,92.74441886674506,0.05480791081025493,Fair,Low,1
24,38091.90467670277,2.5,Full-time,Mortgage,639,63919.41,debt_consolidation,9.77,36,1.6780313439956047,1.6780313439956047,2055.6042062696242,0.6475719889722954,Fair,Medium,1
42,81480.06141945989,8.1,Full-time,Mortgage,774,161972.68,debt_consolidation,8.84,60,1.987881172133187,1.987881172133187,3349.7227102008674,0.49333139693498357,Excellent,High,0
48,61174.971925921476,16.3,Full-time,Mortgage,646,56841.95,major_purchase,9.89,36,0.9291700218323196,0.9291700218323196,1831.1956760717037,0.35920487449458594,Fair,High,0
42,48443.93841689036,4.4,Part-time,Own,672,91646.49,home_improvement,5.47,60,1.8918051049302533,1.8918051049302533,1749.2857147921477,0.4333138316885265,Good,Medium,1
38,42721.842296464034,7.1,Full-time,Own,524,25469.71,debt_consolidation,12.25,36,0.5961753667656803,0.5961753667656803,849.0032699107065,0.2384737804196172,Poor,Medium,1
36,45933.5681137852,13.9,Full-time,Rent,575,90322.15,debt_consolidation,6.89,60,1.9663647678372553,1.9663647678372553,1783.8029847621121,0.46601291160573405,Poor,Medium,1
22,15000.0,0.6,Full-time,Rent,566,26054.21,major_purchase,8.62,60,1.7369473333333332,1.7369473333333332,536.050139310884,0.4288401114487072,Poor,Low,1
31,39514.84278797049,9.0,Full-time,Rent,655,70372.99,debt_consolidation,10.61,60,1.7809254709074451,1.7809254709074451,1516.4276266845845,0.4605138281292813,Fair,Medium,1
34,48287.60877379056,11.7,Part-time,Own,674,16792.35,other,10.17,60,0.34775691790135843,0.34775691790135843,358.1940623805478,0.08901515021592062,Good,Medium,0
52,67552.07061463427,29.3,Full-time,Mortgage,627,118426.79,car,7.17,36,1.7531185783422067,1.7531185783422067,3665.8874174170887,0.6512109637609697,Fair,High,0
44,61100.417145664935,20.6,Full-time,Own,698,115447.02,home_improvement,5.48,60,1.8894636958823277,1.8894636958823277,2204.1066739303415,0.4328821524099966,Good,High,1
21,31506.21414022803,0.0,Full-time,Own,729,52180.31,home_improvement,7.25,60,1.6561910538586322,1.6561910538586322,1039.3984503849965,0.39588321685068334,Good,Medium,1
43,26387.6514612186,20.5,Self-employed,Rent,640,7219.44,business,12.82,36,0.2735916082039459,0.2735916082039459,242.62601709973342,0.11033616271140279,Fair,Low,0
35,52349.66254542257,1.9,Full-time,Own,620,13667.22,major_purchase,10.3,36,0.26107560842710825,0.26107560842710825,442.93025636752145,0.10153194534536714,Fair,Medium,0
31,27646.64172184286,0.4,Full-time,Own,657,21549.21,business,13.21,60,0.779451269952059,0.779451269952059,492.6304242382239,0.2138257930325085,Fair,Low,1
47,41613.26001256775,1.4,Full-time,Own,645,59896.41,car,8.4,60,1.4393587520398667,1.4393587520398667,1225.9818111240015,0.35353590968467424,Fair,Medium,1
52,47840.00224319201,10.8,Full-time,Own,602,5915.91,debt_consolidation,11.28,36,0.12366032028859025,0.12366032028859025,194.4646823622213,0.0487787641916079,Fair,Medium,0
51,69638.71737742692,18.6,Full-time,Own,680,132747.2,business,7.46,60,1.906226952465805,1.906226952465805,2657.4590465349206,0.45792785621803955,Good,High,0
29,31830.867617050935,3.2,Unemployed,Rent,444,34961.55,medical,10.78,60,1.098353661628502,1.098353661628502,756.3185980535471,0.2851264780411104,Poor,Medium,1
36,18838.264850388332,0.4,Full-time,Rent,610,14710.94,vacation,7.46,36,0.7809073774486587,0.7809073774486587,457.33150611952675,0.29132078336403644,Fair,Low,1
